1,30.482
2,15.172
3,10.068
4,7.5163
5,5.9849
6,4.9638
7,4.2342
8,3.687
9,3.2612
10,2.9205
11,2.6416
12,2.4091
13,2.2123
14,2.0436
15,1.8972
16,1.7691
17,1.656
18,1.5553
19,1.4652
20,1.3841
21,1.3106
22,1.2437
23,1.1825
24,1.1264
25,1.0748
26,1.027
27,0.9827
28,0.94151
29,0.90311
30,0.8672
31,0.83354
32,0.80193
33,0.77217
34,0.7441
35,0.71756
36,0.69244
37,0.66861
38,0.64597
39,0.62443
40,0.60389
41,0.58428
42,0.56554
43,0.54759
44,0.53039
45,0.51387
46,0.49799
47,0.4827
48,0.46796
49,0.45374
50,0.43998
51,0.42667
52,0.41377
53,0.40125
54,0.38907
55,0.37721
56,0.36564
57,0.35434
58,0.34327
59,0.33241
60,0.32172
61,0.31117
61.733,0.30351
61.733,0.037281
62,0.03727
63,0.037229
64,0.037189
65,0.037149
66,0.03711
67,0.037071
68,0.037033
69,0.036995
70,0.036958
71,0.036921
72,0.036884
73,0.036848
74,0.036812
75,0.036777
76,0.036742
77,0.036708
78,0.036674
79,0.03664
80,0.036607
81,0.036574
82,0.036541
83,0.036509
84,0.036477
85,0.036445
86,0.036414
87,0.036383
88,0.036352
89,0.036322
90,0.036292
91,0.036262
92,0.036233
93,0.036203
94,0.036174
95,0.036145
96,0.036117
97,0.036089
98,0.036061
99,0.036033
100,0.036006